o:id,skos:prefLabel,dcterms:isReferencedBy ^^uri,skos:notation,skos:altLabel @fr,skos:altLabel @en,skos:scopeNote @fr,skos:scopeNote @en,skos:broader ^^resource,skos:narrower ^^resource,skos:related ^^resource
1289,Educational interaction process,http://vocabularies.unesco.org/thesaurus/concept9276,1.05,Processus d'interaction éducative,Educational interaction process,Observation du comportement des étudiants en réponse à différentes stratégies d'enseignement.,Observation of student behaviour in response to various teaching attitudes.,3960,,3947|4030
1297,Educational models,http://vocabularies.unesco.org/thesaurus/concept9307,1.05,Modèle d'éducation,Educational models,Représentation d'un concept ou d'un système éducatif au moyen d'un diagramme à deux ou trois dimensions ou encore d'une formule mathématique ou autre méthode analogue.,Representation of an educational concept or system in a two or three-dimensional diagram or a mathematical or other analogous form.,1334,,1321|3729
1306,Educational philosophy,http://vocabularies.unesco.org/thesaurus/concept9316,1.05,Philosophie de l'éducation,Educational philosophy,,,1323,,1334|1299
1334,Educational theory,http://vocabularies.unesco.org/thesaurus/concept9317,1.05,Théorie de l'éducation,Educational theory,,,1323,1297,1306|1299
3368,Reading research,http://vocabularies.unesco.org/thesaurus/concept9386,1.05,Recherche sur la lecture,Reading research,,,1321,,
3958,Student sociology,http://vocabularies.unesco.org/thesaurus/concept9395,1.05,Sociologie de l'étudiant,Student sociology,,,1324,3954|3963,3964|3956|3953|3955|3951
3482,Right to education,http://vocabularies.unesco.org/thesaurus/concept10,1.10,Droit à l'éducation,Right to education,,,,1034|1300,950|1309|1912|2372|3501
48,Access to education,http://vocabularies.unesco.org/thesaurus/concept1124,1.10,Accès à l'éducation,Access to education,Circonstances ou conditions d'admission à une institution ou à un programme d'éducation.,"Conditions, circumstances or requirements governing admittance to educational institutions or programmes.",1300,,1265|1310|1647|4274
1677,Functional illiteracy,http://vocabularies.unesco.org/thesaurus/concept11264,1.10,Illettrisme,Functional illiteracy,,,1970,,1678|1971
1265,Educational discrimination,http://vocabularies.unesco.org/thesaurus/concept1137,1.10,Discrimination éducative,Educational discrimination,,,1309,3597,48|1300|4274|1749|4433|1341
1310,Educational priority areas,http://vocabularies.unesco.org/thesaurus/concept1138,1.10,Zone de priorité éducative,Educational priority areas,"Région, localité, etc., où se manifeste le besoin d'une intervention éducative spéciale.","Regions, localities, etc., in need of special educational action.",1300,,1244|48|3602|1262|1095|1341
1647,Free education,http://vocabularies.unesco.org/thesaurus/concept1139,1.10,Enseignement gratuit,Free education,Éducation non payante,Non fee-paying education.,4274,,48|765|1272|3287
4274,Universal education,http://vocabularies.unesco.org/thesaurus/concept1140,1.10,Éducation universelle,Universal education,Système d'éducation rendant l'enseignement accessible à tous.,System of education extending opportunities to all.,1300,765|1647,48|1034|1265|1983|1341
86,Adult literacy,http://vocabularies.unesco.org/thesaurus/concept1480,1.10,Alphabétisation des adultes,Adult literacy,,,1309,1970,85|81|4433|1678|2372|87|2786
2328,Leisure and education,http://vocabularies.unesco.org/thesaurus/concept1487,1.10,Loisir et éducation,Leisure and education,Activité organisée dans l'intention d'aider des individus ou des groupes à utiliser leur temps libre de manière à favoriser leur bien-être physique et mental.,Organized activities intended to help individuals or groups use non-work time in a manner conducive to physical and mental well-being.,1309,,2327|81|955|3904
1970,Illiteracy,http://vocabularies.unesco.org/thesaurus/concept1516,1.10,Analphabétisme,Illiteracy,"Se rapporte au problème même de l'analphabétisme. Pour désigner les dispositions prises pour le résoudre, utiliser les descripteurs associés au terme ""alphabétisation"".","Relates to the problem. Provision for resolving it should be handled by the ""literacy"" descriptors.",86,1677,1678|2372|1971
3590,School closure,http://vocabularies.unesco.org/thesaurus/concept17112,1.10,Fermeture d'écoles,School closure,"Fait référence à la fermeture permanente ou temporaire d'une école. Cette dernière peut être due à des situations de crise telles qu'une catastrophe naturelle, un conflit armé ou une épidémie.","Refers to both permanent or temporary school closures. The latter can be due to crisis situations such as natural disaster, armed conflict or epidemics.",1300,,1252
167,Alternative education,http://vocabularies.unesco.org/thesaurus/concept2107,1.10,Éducation alternative,Alternative education,"Terme générique qui désigne les diverses formules offrant une solution alternative à l'éducation institutionnelle traditionnelle, ainsi que les mouvements qui rejettent la notion d'éducation formelle.",General term for schemes which offer an alternative to traditional institutional education or for movements which reject the notion of formal schooling.,1309,,966|1329|1270
1270,Educational experiments,http://vocabularies.unesco.org/thesaurus/concept2112,1.10,Expérimentation pédagogique,Educational experiments,,,1286,,1321|167
410,Bilingual education,http://vocabularies.unesco.org/thesaurus/concept3894,1.10,Enseignement bilingue,Bilingual education,Incitation au bilinguisme en dispensant des cours réguliers à la fois dans la langue nationale et dans une langue seconde.,Encouragement of bilingualism through the teaching of regular courses in both the national language and a second language.,2270,,2110|2666|3661|405
2110,Intercultural education,http://vocabularies.unesco.org/thesaurus/concept3898,1.10,Éducation interculturelle,Intercultural education,,,1236,,905|2116|754|410|2131|405|903|2675|2109
1300,Educational opportunities,http://vocabularies.unesco.org/thesaurus/concept4938,1.10,Chances d'éducation,Educational opportunities,Disponibilité de ressources éducatives.,Availability of educational provision.,3482,48|1310|4274|3590,1034|1265|1257|1298|1341|1447
631,Church and education,http://vocabularies.unesco.org/thesaurus/concept5178,1.10,Relation Église-éducation,Church and education,,,1309,,1324|1039|630
765,Compulsory education,http://vocabularies.unesco.org/thesaurus/concept5999,1.10,Scolarité obligatoire,Compulsory education,,,4274,,1292|1647|1252
788,Computer uses in education,http://vocabularies.unesco.org/thesaurus/concept6020,1.10,Informatique éducative,Computer uses in education,"Utilisation des ordinateurs pour la formation, les tests, les services aux étudiants, élèves et personnel, les services de soutien à l'administration de l'éducation, etc. Utiliser un descripteur plus précis quand c'est pertinent.","The use of computers for instruction, testing, student/pupil personnel services, school administrative support services, etc. Use more specific descriptor where appropriate.",1309,,769|1330|770|1325|771
1236,Education and culture,http://vocabularies.unesco.org/thesaurus/concept7078,1.10,Éducation et culture,Education and culture,Prise en compte des facteurs culturels dans le processus éducatif.,Taking into consideration of cultural factors in the educational process.,1309,2110,917|1248|957
967,Curriculum development,http://vocabularies.unesco.org/thesaurus/concept7273,1.10,Développement du curriculum,Curriculum development,"Processus systématique de production de nouveaux programmes éducatifs ou de révision des programmes existants. Implique l'élaboration d'objectifs, de contenus, de méthodes, de procédures d'évaluation.","Systematic process of producing new curricula or improving existing ones. Involves setting out aims, content, methods, evaluation procedures.",1264,,970|1286|1319
1286,Educational innovations,http://vocabularies.unesco.org/thesaurus/concept7281,1.10,Innovation éducative,Educational innovations,"Changement d'objectifs, de contenus ou de méthodes, initié, en règle générale, en situation expérimentale.","Changes in objectives, content or methods initiated, as a rule, in experimental situations.",1264,1270|4060,1308|967|1319|1337
1319,Educational reform,http://vocabularies.unesco.org/thesaurus/concept7282,1.10,Réforme de l'éducation,Educational reform,Changement planifié ou en cours d'application d'une partie importante d'un système national d'éducation.,Change planned or in process of implementation to a major part of a national system of education.,1264,,1308|1309|967|1034|1114|1286
1034,Democratization of education,http://vocabularies.unesco.org/thesaurus/concept7597,1.10,Démocratisation de l'éducation,Democratization of education,Politique visant à assurer l'égalité des chances en éducation afin de réaliser l'objectif de l'éducation pour tous.,Policy of ensuring equality of educational opportunity in order to achieve universal education.,3482,,1309|1300|1319|4274|1032
3597,School integration,http://vocabularies.unesco.org/thesaurus/concept7790,1.10,Intégration scolaire,School integration,"Se réfère à des groupes ethniques, s'applique aussi aux aspects négatifs de la ségrégation.","Refers to ethnic groups, covers also negative aspect of segregation.",1265,,1281|1292|1294|1045|3326
2131,International education,http://vocabularies.unesco.org/thesaurus/concept7859,1.10,Éducation à vocation internationale,International education,"Éducation visant la compréhension internationale, la paix, les droits de l'homme et les libertés fondamentales. Ne pas confondre avec l'éducation des écoles internationales.","Education aimed at international understanding, cooperation, peace, human rights and fundamental freedoms. Do not confuse with education in international schools.",1309,,2110|3950|1057|1913|3005|2143
1264,Educational development,http://vocabularies.unesco.org/thesaurus/concept8,1.10,Développement de l'éducation,Educational development,"Evolution positive d'une ou de plusieurs caractéristiques variables propres au système éducatif, déterminée en fonction de certains critères d'appréciation. Utiliser un descripteur plus précis quand c'est pertinent.",Developmental change of one or more characteristics of the educational system variables in a positive direction in terms of some valued criterion. Use more specific descriptor where appropriate.,,967|1114|1286|1319|1337,1308|1309
1114,Diversification of education,http://vocabularies.unesco.org/thesaurus/concept8260,1.10,Diversification de l'éducation,Diversification of education,,,1264,,1308|1319
1309,Educational policy,http://vocabularies.unesco.org/thesaurus/concept9,1.10,Politique éducative,Educational policy,Enoncé officiel des objectifs devant régir un système d'éducation.,Official statements of goals to which the system of education is directed.,,86|167|631|788|1236|1265|1284|1299|1327|2032|2131|2270|2328|3918|3966,1264|3482|1034|1319|1258|1063
2032,Industry and education,http://vocabularies.unesco.org/thesaurus/concept9042,1.10,Industrie et éducation,Industry and education,,,1309,,1238|2012
1337,Educational trends,http://vocabularies.unesco.org/thesaurus/concept9176,1.10,Tendance de l'éducation,Educational trends,"Changement dans le mouvement éducatif, passé ou futur, qui se manifeste en réponse à un besoin social, économique ou environnemental.","Changes in educational movement, either past or future, which occur in response to social, economic or environmental trends.",1264,1414,1286|1276
1284,Educational indicators,http://vocabularies.unesco.org/thesaurus/concept9255,1.10,Indicateur de l'éducation,Educational indicators,Données numériques utilisées dans la formulation et le suivi des politiques éducatives.,Numerical data used as benchmarks in the formulation and monitoring of educational policy.,1309,,1326|1321|1298
4060,Teaching method innovations,http://vocabularies.unesco.org/thesaurus/concept9267,1.10,Innovation pédagogique,Teaching method innovations,,,1286,,4061
1299,Educational objectives,http://vocabularies.unesco.org/thesaurus/concept9311,1.10,Objectif de l'éducation,Educational objectives,Résultat visé ou attendu du processus éducatif.,Intended or expected results of the educational process.,1309,,1308|1306|1334|1298
1327,Educational strategies,http://vocabularies.unesco.org/thesaurus/concept9341,1.10,Stratégie de l'éducation,Educational strategies,"Transformation d'une politique théorique d'objectifs éducatifs en termes opérationnels, comprenant des indications de solutions alternatives pour réaliser ces objectifs.","Conversion of policy goals into operational terms, including some indication of alternative paths to reach these goals.",1309,,1308
2270,Language of instruction,http://vocabularies.unesco.org/thesaurus/concept9343,1.10,Langue d'enseignement,Language of instruction,,,1309,410,2271|2666
3918,State and education,http://vocabularies.unesco.org/thesaurus/concept9344,1.10,État et éducation,State and education,,,1309,,1765|1768
3966,Study abroad,http://vocabularies.unesco.org/thesaurus/concept9345,1.10,Études à l'étranger,Study abroad,,,1309,,2304|4061|1502|3950|3953|4056|4221|1633|3968
1414,Enrolment trends,http://vocabularies.unesco.org/thesaurus/concept9440,1.10,Évolution des effectifs,Enrolment trends,,,1337,,1412|1413
1252,Educational attendance,http://vocabularies.unesco.org/thesaurus/concept1114,1.15,Fréquentation scolaire,Educational attendance,,,1326,,45|1294|1317|4230|765|1144|1411|3588|1335|3596|3610|3590
1224,Economics of education,http://vocabularies.unesco.org/thesaurus/concept13,1.15,Économie de l'éducation,Economics of education,Techniques de l'économie appliquées au système éducatif.,Techniques of economics applied to educational systems.,,1237|1238|1263|1266|1274|1298|1322,1220|1326
3179,Postliteracy programmes,http://vocabularies.unesco.org/thesaurus/concept13482,1.15,Programme de postalphabétisation,Postliteracy programmes,,,2374,,2372|2786
1308,Educational planning,http://vocabularies.unesco.org/thesaurus/concept14,1.15,Planification de l'éducation,Educational planning,,,,,1244|1264|1114|1286|1299|1319|1327|1237|1249
1411,Enrolment,http://vocabularies.unesco.org/thesaurus/concept1453,1.15,Effectifs,Enrolment,Nombre total d'individus inscrits comme participants à un programme ou à une activité.,The total number of individuals registered as participants in a programme or activity.,1326,1339,1252|3588|75
1311,Educational programmes,http://vocabularies.unesco.org/thesaurus/concept15,1.15,Programme d'éducation,Educational programmes,"Série d'activités planifiées, d'un point de vue administratif, en rapport avec le développement d'une institution. Ne pas confondre avec ""programme d'enseignement"".","Series of planned activities, with administrative connotation, relating to development of institutions. Do not confuse with ""instructional programmes"".",,83|1502|2095|2374|3365,1312|1250
83,Adult education programmes,http://vocabularies.unesco.org/thesaurus/concept1503,1.15,Programme d'éducation des adultes,Adult education programmes,"Programme conçu pour fournir aux adultes qui n'ont pas reçu une éducation formelle adéquate, tout comme à ceux qui s'intéressent à l'éducation permanente, des possibilités de formation.","Programmes designed to provide learning opportunities for both adults who have not had adequate formal education, as well as others interested in lifelong learning.",1311,,
1312,Educational projects,http://vocabularies.unesco.org/thesaurus/concept16,1.15,Projet d'éducation,Educational projects,,,,3602,1311
1326,Educational statistics,http://vocabularies.unesco.org/thesaurus/concept17,1.15,Statistique de l'éducation,Educational statistics,,,,1252|1276|1411|1413|3588|3953|3959,1224|1293|1284|3602|3923
1257,Educational choice,http://vocabularies.unesco.org/thesaurus/concept17013,1.15,Choix éducatif,Educational choice,,,1263,,1282|1288|1300
1287,Educational input,http://vocabularies.unesco.org/thesaurus/concept2552,1.15,Investissement dans l'éducation,Educational input,,,1266,,1302|1322
1298,Educational needs,http://vocabularies.unesco.org/thesaurus/concept3617,1.15,Besoin éducatif,Educational needs,Au niveau du système éducatif.,At the level of educational systems.,1224,,1284|1299|1300|1263|1302|1322|1341|373
1255,Educational budgets,http://vocabularies.unesco.org/thesaurus/concept4384,1.15,Budget de l'éducation,Educational budgets,,,1274,,1260|1275
3602,School mapping,http://vocabularies.unesco.org/thesaurus/concept4708,1.15,Carte scolaire,School mapping,Planification des besoins futurs en matière d'établissements éducatifs en fonction des facteurs démographiques et géographiques.,Planning further provisions of educational establishments in terms of demographic and geographical factors.,1312,649|3607,1326|1310
1234,Educated unemployment,http://vocabularies.unesco.org/thesaurus/concept5138,1.15,Chômage des diplômés,Educated unemployment,,,1238,,1770|4204|4488
649,Class size,http://vocabularies.unesco.org/thesaurus/concept5378,1.15,Dimension de la classe,Class size,,,3602,,653|3959|4048|4051|650
3959,Student teacher ratio,http://vocabularies.unesco.org/thesaurus/concept5380,1.15,Proportion élèves/enseignants,Student teacher ratio,,,1326,,649|4048|4051|4041
4048,Teacher shortage,http://vocabularies.unesco.org/thesaurus/concept5381,1.15,Pénurie d'enseignants,Teacher shortage,,,4051,,649|3959|4041
4051,Teacher supply,http://vocabularies.unesco.org/thesaurus/concept5382,1.15,Offre d'enseignants,Teacher supply,Planification de l'approvisionnement en personnel enseignant.,Planning of manpower provision.,1266,4039|4048,649|1296|3959|4041|4044|2245
1260,Educational costs,http://vocabularies.unesco.org/thesaurus/concept6702,1.15,Coût de l'éducation,Educational costs,,,1274,,1255|1275|850|851
1302,Educational output,http://vocabularies.unesco.org/thesaurus/concept6703,1.15,Rendement de l'éducation,Educational output,,,1266,,1287|1298|1322|850
1266,Educational efficiency,http://vocabularies.unesco.org/thesaurus/concept6707,1.15,Efficience de l'éducation,Educational efficiency,Mesure dans laquelle un système éducatif réussit à optimiser le rapport investissement-résultat en éducation.,Degree to which educational systems are successful in optimizing the educational input/output relationship.,1224,1287|1302|4051,1269|1317|851
1502,Exchange programmes,http://vocabularies.unesco.org/thesaurus/concept7050,1.15,Programme d'échange,Exchange programmes,S'applique systématiquement à l'échange d'étudiants ou d'enseignants entre institutions.,Provide systematically for the exchange of students or teachers between institutions.,1311,3950,1294|3966|4056|910|2103
2095,Instructional programmes,http://vocabularies.unesco.org/thesaurus/concept7269,1.15,Programme d'enseignement,Instructional programmes,"Résumé des instructions, cours et matières d'enseignement qui seront dispensés par une institution éducative au cours d'une période de temps définie.","Outline of procedures, courses and subjects to be provided by an educational institution over a given period of time.",1311,,966|1261
1263,Educational demand,http://vocabularies.unesco.org/thesaurus/concept7587,1.15,Demande d'éducation,Educational demand,Demande d'éducation de la part du consommateur.,Consumer demand for education.,1224,1257,1298
1339,Educational wastage,http://vocabularies.unesco.org/thesaurus/concept7660,1.15,Déperdition scolaire,Educational wastage,Conséquence des problèmes de redoublement et d'abandon en cours d'études.,Effects of the associated problems of repetition and dropping out.,1411,1144|3432,1145|1146|1769
1272,Educational fees,http://vocabularies.unesco.org/thesaurus/concept7703,1.15,Droit d'inscription,Educational fees,,,1274,,1647|3232
1237,Education and development,http://vocabularies.unesco.org/thesaurus/concept7878,1.15,Éducation et développement,Education and development,Se réfère à l'intégration de l'éducation dans le processus de développement.,Refers to the integration of education into the development process.,1224,,1187|1239|1308|1061|2100
3607,School size,http://vocabularies.unesco.org/thesaurus/concept8039,1.15,Dimension de l'école,School size,,,3602,,3758
1144,Dropout rate,http://vocabularies.unesco.org/thesaurus/concept8517,1.15,Taux d'abandon en cours d'études,Dropout rate,,,1339,,1252|1146
3950,Student exchange,http://vocabularies.unesco.org/thesaurus/concept8646,1.15,Échange d'étudiants,Student exchange,,,1502,,2131|3966|4284
1238,Education and employment,http://vocabularies.unesco.org/thesaurus/concept8863,1.15,Éducation et emploi,Education and employment,,,1224,1234|4204,1382|1324|2032|3948|4349|1320|4482|4488
1274,Educational finance,http://vocabularies.unesco.org/thesaurus/concept8864,1.15,Financement de l'éducation,Educational finance,,,1224,1255|1260|1272,1280|1294|1275|1250
1322,Educational resources,http://vocabularies.unesco.org/thesaurus/concept8865,1.15,Ressources éducatives,Educational resources,,,1224,1275|1296,1271|1304|1287|1298|1302
1296,Educational manpower,http://vocabularies.unesco.org/thesaurus/concept8867,1.15,Main-d'oeuvre éducative,Educational manpower,,,1322,,1304|4039|4051
4204,Transition from school to work,http://vocabularies.unesco.org/thesaurus/concept9027,1.15,Passage à la vie active,Transition from school to work,,,1238,,1282|3599|1234|4349|4459|1384
3588,School age population,http://vocabularies.unesco.org/thesaurus/concept9161,1.15,Population d'âge scolaire,School age population,,,1326,,1252|1411
1275,Educational financial resources,http://vocabularies.unesco.org/thesaurus/concept9166,1.15,Ressources financières éducatives,Educational financial resources,,,1322,,1255|1260|1274|1581
1276,Educational forecasting,http://vocabularies.unesco.org/thesaurus/concept9217,1.15,Prévision en éducation,Educational forecasting,Projection à long terme du développement de l'éducation. Peut inclure la conception de modèles de systèmes éducatifs.,Long term projection of educational development. May include design of scenarios for educational systems.,1326,1412,1337
1412,Enrolment projections,http://vocabularies.unesco.org/thesaurus/concept9219,1.15,Projection des effectifs,Enrolment projections,,,1276,,1414
4039,Teacher employment,http://vocabularies.unesco.org/thesaurus/concept9301,1.15,Emploi des enseignants,Teacher employment,,,4051,,1382|1296
2374,Literacy programmes,http://vocabularies.unesco.org/thesaurus/concept9352,1.15,Programme d'alphabétisation,Literacy programmes,,,1311,3179,2811|2373
3365,Reading programmes,http://vocabularies.unesco.org/thesaurus/concept9353,1.15,Programme de lecture,Reading programmes,,,1311,,3363
1413,Enrolment ratio,http://vocabularies.unesco.org/thesaurus/concept9402,1.15,Taux d'inscription,Enrolment ratio,Pourcentage d'inscriptions par rapport aux individus d'un groupe d'âge donné.,Enrolment as percentage of relevant age group.,1326,,1414
3953,Student mobility,http://vocabularies.unesco.org/thesaurus/concept9403,1.15,Mobilité des étudiants,Student mobility,,,1326,,3958|3966
3432,Repetition rate,http://vocabularies.unesco.org/thesaurus/concept9447,1.15,Taux de redoublement,Repetition rate,,,1339,,1769
41,Academic freedom,http://vocabularies.unesco.org/thesaurus/concept1071,1.20,Liberté de l'enseignement,Academic freedom,"Liberté pour les institutions éducatives de décider de leur programme de cours et de recherches, et pour les enseignants, d'enseigner les matières, sans contrainte extérieure.","Liberty of educational institutions to decide courses and research, and of teachers to teach subjects, without outside coercion.",1253,,637|4049
4049,Teacher status,http://vocabularies.unesco.org/thesaurus/concept1073,1.20,Condition de l'enseignant,Teacher status,,,4063,4045|4046,1292|41
54,Accreditation (education),http://vocabularies.unesco.org/thesaurus/concept1088,1.20,Agrément (éducation),Accreditation (education),"Reconnaissance et ratification de la norme académique d'une institution éducative par un organisme externe impartial, publiquement reconnu.","Recognition and approval of the academic standards of an educational institution by some external, impartial body of high public esteem.",1328,,43
